bus_cif	gate.mbtree_backoff	0/1
bus_cif	gate.mbtree_grain	0/1
bus_cif	gate.mbtree_spread	1/1
bus_cif	gate.shape_rd_flip	3208/9133
bus_cif	gate.sub8.aq_grain_veto	0/30
bus_cif	gate.sub8.intra_rd_flip	0/0
bus_cif	gate.sub8.mbtree_backoff	0/1
bus_cif	gate.sub8.mbtree_grain	0/1
bus_cif	gate.sub8.mbtree_spread	1/1
bus_cif	gate.sub8.shape_rd_flip	3208/9133
bus_cif	gate.sub8.sub8_grain	0/9133
bus_cif	gate.sub8.sub8_rd_revert	4926/7862
bus_cif	gate.sub8.sub8_split	16542/36532
bus_cif	gate.sub8_grain	0/9133
bus_cif	gate.sub8_rd_revert	4926/7862
bus_cif	gate.sub8_split	16542/36532
bus_cif	hash	dac05cd6afb19ae3
bus_cif	hash.aq0_mbtree0	0dac951c864ae6c4
bus_cif	hash.intra_rd	dac05cd6afb19ae3
bus_cif	hash.sub8_rd	dac05cd6afb19ae3
bus_cif	work.best_part	376751
bus_cif	work.intrard.best_part	376751
bus_cif	work.intrard.mb_coded	11431
bus_cif	work.intrard.mb_plan	63581
bus_cif	work.mb_coded	11431
bus_cif	work.mb_plan	63581
bus_cif	work.sub8.best_part	376751
bus_cif	work.sub8.mb_coded	11431
bus_cif	work.sub8.mb_plan	63581
foreman_cif	bytes	95707
foreman_cif	bytes.intra_rd	95707
foreman_cif	bytes.sub8_rd	95707
foreman_cif	gate.aq_grain_veto	0/30
foreman_cif	gate.intra_rd_flip	0/0
foreman_cif	gate.intrard.aq_grain_veto	0/30
foreman_cif	gate.intrard.intra_rd_flip	0/0
foreman_cif	gate.intrard.mbtree_backoff	0/1
foreman_cif	gate.intrard.mbtree_grain	0/1
foreman_cif	gate.intrard.mbtree_spread	1/1
foreman_cif	gate.intrard.shape_rd_flip	1803/5005
foreman_cif	gate.intrard.sub8_grain	0/5005
foreman_cif	gate.intrard.sub8_rd_revert	2207/3762
foreman_cif	gate.intrard.sub8_split	6420/20020
foreman_cif	gate.mbtree_backoff	0/1
foreman_cif	gate.mbtree_grain	0/1
foreman_cif	gate.mbtree_spread	1/1
foreman_cif	gate.shape_rd_flip	1803/5005
foreman_cif	gate.sub8.aq_grain_veto	0/30
foreman_cif	gate.sub8.intra_rd_flip	0/0
foreman_cif	gate.sub8.mbtree_backoff	0/1
foreman_cif	gate.sub8.mbtree_grain	0/1
foreman_cif	gate.sub8.mbtree_spread	1/1
foreman_cif	gate.sub8.shape_rd_flip	1803/5005
foreman_cif	gate.sub8.sub8_grain	0/5005
foreman_cif	gate.sub8.sub8_rd_revert	2207/3762
foreman_cif	gate.sub8.sub8_split	6420/20020
foreman_cif	gate.sub8_grain	0/5005
foreman_cif	gate.sub8_rd_revert	2207/3762
foreman_cif	gate.sub8_split	6420/20020
foreman_cif	hash	4d3b39a758973782
foreman_cif	hash.aq0_mbtree0	9247330f518c7532
foreman_cif	hash.intra_rd	4d3b39a758973782
foreman_cif	hash.sub8_rd	4d3b39a758973782
foreman_cif	work.best_part	210602
foreman_cif	work.intrard.best_part	210602
foreman_cif	work.intrard.mb_coded	10402
foreman_cif	work.intrard.mb_plan	37910
foreman_cif	work.mb_coded	10402
foreman_cif	work.mb_plan	37910
foreman_cif	work.sub8.best_part	210602
foreman_cif	work.sub8.mb_coded	10402
foreman_cif	work.sub8.mb_plan	37910
in_to_tree_420_720p50	bytes	1262925
in_to_tree_420_720p50	bytes.intra_rd	1262925
in_to_tree_420_720p50	bytes.sub8_rd	1262925
in_to_tree_420_720p50	gate.aq_grain_veto	0/30
in_to_tree_420_720p50	gate.intra_rd_flip	0/0
in_to_tree_420_720p50	gate.intrard.aq_grain_veto	0/30
in_to_tree_420_720p50	gate.intrard.intra_rd_flip	0/0
in_to_tree_420_720p50	gate.intrard.mbtree_backoff	0/1
in_to_tree_420_720p50	gate.intrard.mbtree_grain	0/1
in_to_tree_420_720p50	gate.intrard.mbtree_spread	1/1
in_to_tree_420_720p50	gate.intrard.shape_rd_flip	33917/80907
in_to_tree_420_720p50	gate.intrard.sub8_grain	0/80907
in_to_tree_420_720p50	gate.intrard.sub8_rd_revert	32608/43941
in_to_tree_420_720p50	gate.intrard.sub8_split	62969/323628
in_to_tree_420_720p50	gate.mbtree_backoff	0/1
in_to_tree_420_720p50	gate.mbtree_grain	0/1
in_to_tree_420_720p50	gate.mbtree_spread	1/1
in_to_tree_420_720p50	gate.shape_rd_flip	33917/80907
in_to_tree_420_720p50	gate.sub8.aq_grain_veto	0/30
in_to_tree_420_720p50	gate.sub8.intra_rd_flip	0/0
in_to_tree_420_720p50	gate.sub8.mbtree_backoff	0/1
in_to_tree_420_720p50	gate.sub8.mbtree_grain	0/1
in_to_tree_420_720p50	gate.sub8.mbtree_spread	1/1
in_to_tree_420_720p50	gate.sub8.shape_rd_flip	33917/80907
in_to_tree_420_720p50	gate.sub8.sub8_grain	0/80907
in_to_tree_420_720p50	gate.sub8.sub8_rd_revert	32608/43941
in_to_tree_420_720p50	gate.sub8.sub8_split	62969/323628
in_to_tree_420_720p50	gate.sub8_grain	0/80907
in_to_tree_420_720p50	gate.sub8_rd_revert	32608/43941
in_to_tree_420_720p50	gate.sub8_split	62969/323628
in_to_tree_420_720p50	hash	f8384707183d4b20
in_to_tree_420_720p50	hash.aq0_mbtree0	6c332e3e595e72f6
in_to_tree_420_720p50	hash.intra_rd	f8384707183d4b20
in_to_tree_420_720p50	hash.sub8_rd	f8384707183d4b20
in_to_tree_420_720p50	work.best_part	3337447
in_to_tree_420_720p50	work.intrard.best_part	3337447
in_to_tree_420_720p50	work.intrard.mb_coded	101167
in_to_tree_420_720p50	work.intrard.mb_plan	512671
in_to_tree_420_720p50	work.mb_coded	101167
in_to_tree_420_720p50	work.mb_plan	512671
in_to_tree_420_720p50	work.sub8.best_part	3337447
in_to_tree_420_720p50	work.sub8.mb_coded	101167
in_to_tree_420_720p50	work.sub8.mb_plan	512671
mobile_cif	bytes	325021
mobile_cif	bytes.intra_rd	325021
mobile_cif	bytes.sub8_rd	325021
mobile_cif	gate.aq_grain_veto	0/30
mobile_cif	gate.intra_rd_flip	0/0
mobile_cif	gate.intrard.aq_grain_veto	0/30
mobile_cif	gate.intrard.intra_rd_flip	0/0
mobile_cif	gate.intrard.mbtree_backoff	0/1
mobile_cif	gate.intrard.mbtree_grain	0/1
mobile_cif	gate.intrard.mbtree_spread	1/1
mobile_cif	gate.intrard.shape_rd_flip	0/0
mobile_cif	gate.intrard.sub8_grain	0/10456
mobile_cif	gate.intrard.sub8_rd_revert	5925/10043
mobile_cif	gate.intrard.sub8_split	25028/41824
mobile_cif	gate.mbtree_backoff	0/1
mobile_cif	gate.mbtree_grain	0/1
mobile_cif	gate.mbtree_spread	1/1
mobile_cif	gate.shape_rd_flip	0/0
mobile_cif	gate.sub8.aq_grain_veto	0/30
mobile_cif	gate.sub8.intra_rd_flip	0/0
mobile_cif	gate.sub8.mbtree_backoff	0/1
mobile_cif	gate.sub8.mbtree_grain	0/1
mobile_cif	gate.sub8.mbtree_spread	1/1
mobile_cif	gate.sub8.shape_rd_flip	0/0
mobile_cif	gate.sub8.sub8_grain	0/10456
mobile_cif	gate.sub8.sub8_rd_revert	5925/10043
mobile_cif	gate.sub8.sub8_split	25028/41824
mobile_cif	gate.sub8_grain	0/10456
mobile_cif	gate.sub8_rd_revert	5925/10043
mobile_cif	gate.sub8_split	25028/41824
mobile_cif	hash	2a3eb67af7bb1a7f
mobile_cif	hash.aq0_mbtree0	610d2ece08e3a8eb
mobile_cif	hash.intra_rd	2a3eb67af7bb1a7f
mobile_cif	hash.sub8_rd	2a3eb67af7bb1a7f
mobile_cif	work.best_part	429556
mobile_cif	work.intrard.best_part	429556
mobile_cif	work.intrard.mb_coded	11316
mobile_cif	work.intrard.mb_plan	31393
mobile_cif	work.mb_coded	11316
mobile_cif	work.mb_plan	31393
mobile_cif	work.sub8.best_part	429556
mobile_cif	work.sub8.mb_coded	11316
mobile_cif	work.sub8.mb_plan	31393
